Item ID,Name,Description,Icon Path,Icon URL,Rarity,Tier,Item Type Name,Item Class,Weight,Max Stack Size,Gear Score,MinGS,MaxGS,Perks,PerkBuckets,Ingredient Categories,Crafting Recipe,Armor Rating Scale Factor,Weapon Dmg Scale Factor
amulett5_oprbeta,Gorgon's Amulet,A piece of powerful gear rightfully claimed by a conqueror of dangerous foes in the Hive of Gorgons Raid.,icons/items/armor/angryearthamulet10,https://nwdb.info/images/icons/items/armor/angryearthamulet10.png,4,5,,EquippableAmulet|Jewelry,,,,,,perkid_stat_armorhighest|perkid_amulet_hp|perkid_gem_emptygemslot,perkbucket_hercynemutatorcombo_bucket4|perkbucket_hercynemutatorcombo_bucket5,,,,
ringt5_oprbeta,Gorgon's Ring,A piece of powerful gear rightfully claimed by a conqueror of dangerous foes in the Hive of Gorgons Raid.,icons/items/armor/angryearthring10,https://nwdb.info/images/icons/items/armor/angryearthring10.png,4,5,,EquippableRing|Jewelry,,,,,,perkid_stat_armorhighest|perkid_ring_maxstamina|perkid_gem_emptygemslot,perkbucket_hercynemutatorcombo_bucket4|perkbucket_hercynemutatorcombo_bucket5,,,,
earringt5_oprbeta,Gorgon's Earring,A piece of powerful gear rightfully claimed by a conqueror of dangerous foes in the Hive of Gorgons Raid.,icons/items/armor/angryearthearring10,https://nwdb.info/images/icons/items/armor/angryearthearring10.png,4,5,,EquippableToken|Jewelry,,,,,,perkid_stat_armorhighest|perkid_earring_healthregen|perkid_gem_emptygemslot,perkbucket_hercynemutatorcombo_bucket4|perkbucket_hercynemutatorcombo_bucket5,,,,
2hstafflife_oprbeta,Gorgon's Life Staff,A piece of powerful gear rightfully claimed by a conqueror of dangerous foes in the Hive of Gorgons Raid.,icons/items/weapon/app_hercyneraid_lifestaff,https://nwdb.info/images/icons/items/weapon/app_hercyneraid_lifestaff.png,4,5,,Weapon|EquippableMainHand|LifeStaff|Magic,,,,,,perkid_stat_twohandsage|perkid_weaponlife_healoutgoing|perkid_gem_emptygemslot,perkbucket_hercynemutatorcombo_bucket4|perkbucket_hercynemutatorcombo_bucket5,,,,
1hgauntletice_oprbeta,Gorgon's Ice Gauntlet,A piece of powerful gear rightfully claimed by a conqueror of dangerous foes in the Hive of Gorgons Raid.,icons/items/weapon/app_hercyneraid_icegauntlet,https://nwdb.info/images/icons/items/weapon/app_hercyneraid_icegauntlet.png,4,5,,Weapon|EquippableMainHand|IceMagic|Magic,,,,,,perkid_stat_twohandscholar|perkid_weapon_dmgbasic|perkid_gem_emptygemslot,perkbucket_hercynemutatorcombo_bucket4|perkbucket_hercynemutatorcombo_bucket5,,,,
1hgauntletvoid_oprbeta,Gorgon's Void Gauntlet,A piece of powerful gear rightfully claimed by a conqueror of dangerous foes in the Hive of Gorgons Raid.,icons/items/weapon/app_hercyneraid_voidgauntlet,https://nwdb.info/images/icons/items/weapon/app_hercyneraid_voidgauntlet.png,4,5,,Weapon|EquippableMainHand|VoidGauntlet|Magic,,,,,,perkid_stat_twohandscholar|perkid_weapon_dmgbasic|perkid_gem_emptygemslot,perkbucket_hercynemutatorcombo_bucket4|perkbucket_hercynemutatorcombo_bucket5,,,,
2hstafffire_oprbeta,Gorgon's Fire Staff,A piece of powerful gear rightfully claimed by a conqueror of dangerous foes in the Hive of Gorgons Raid.,icons/items/weapon/app_hercyneraid_firestaff,https://nwdb.info/images/icons/items/weapon/app_hercyneraid_firestaff.png,4,5,,Weapon|EquippableMainHand|FireStaff|Magic,,,,,,perkid_stat_twohandscholar|perkid_weapon_dmgbasic|perkid_gem_emptygemslot,perkbucket_hercynemutatorcombo_bucket4|perkbucket_hercynemutatorcombo_bucket5,,,,
2hspear_oprbeta,Gorgon's Spear,A piece of powerful gear rightfully claimed by a conqueror of dangerous foes in the Hive of Gorgons Raid.,icons/items/weapon/app_hercyneraid_spear,https://nwdb.info/images/icons/items/weapon/app_hercyneraid_spear.png,4,5,,Weapon|EquippableTwoHand|Spear|Melee,,,,,,perkid_stat_twohandranger|perkid_weapon_dmgbasic|perkid_gem_emptygemslot,perkbucket_hercynemutatorcombo_bucket4|perkbucket_hercynemutatorcombo_bucket5,,,,
1hrapier_oprbeta,Gorgon's Rapier,A piece of powerful gear rightfully claimed by a conqueror of dangerous foes in the Hive of Gorgons Raid.,icons/items/weapon/app_hercyneraid_rapier,https://nwdb.info/images/icons/items/weapon/app_hercyneraid_rapier.png,4,5,,Weapon|EquippableMainHand|Rapier|Melee,,,,,,perkid_stat_twohandranger|perkid_weapon_dmgbasic|perkid_gem_emptygemslot,perkbucket_hercynemutatorcombo_bucket4|perkbucket_hercynemutatorcombo_bucket5,,,,
2hwarhammer_oprbeta,Gorgon's War Hammer,A piece of powerful gear rightfully claimed by a conqueror of dangerous foes in the Hive of Gorgons Raid.,icons/items/weapon/app_hercyneraid_warhammer,https://nwdb.info/images/icons/items/weapon/app_hercyneraid_warhammer.png,4,5,,Weapon|EquippableTwoHand|2HHammer|Melee,,,,,,perkid_stat_twohandsoldier|perkid_weapon_dmgbasic|perkid_gem_emptygemslot,perkbucket_hercynemutatorcombo_bucket4|perkbucket_hercynemutatorcombo_bucket5,,,,
